source_x,source_y,dest_x,dest_y,straight_distance,shortest_path_length,source_degree,dest_degree,global_avg_congestion,global_max_congestion,global_congestion_std,total_vehicles,path_avg_congestion,path_max_congestion,path_congestion_variance,hour,day_of_week,is_rush_hour,is_weekend,is_holiday,scenario_normal,scenario_morning,scenario_evening,scenario_weekend,scenario_special,time_early_morning,time_morning_rush,time_midday,time_evening_rush,time_night,weather_clear,weather_rain,weather_fog,weather_snow,astar_time,optimal_path_time,congestion_aware_time,best_algorithm,best_time,sample_id
-0.1054466,51.5184715,-0.090008,51.519813,0.015496773606464223,163,2,4,2.5031682795125323,5.0,0.9610833883741625,0,2.5510561245711587,4.2906517629416685,0.7624419304476152,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,385.69108760559664,561.199718709376,385.69108760559664,astar_time,385.69108760559664,Normal_0_0_0
-0.0758517,51.5116527,-0.1045317,51.5114654,0.028680611591979707,203,4,3,2.5031682795125323,5.0,0.9610833883741625,0,2.511748807338826,4.891620361798762,0.858385867405921,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,528.3770958319994,524.0698321512286,528.3770958319994,optimal_path_time,524.0698321512286,Normal_0_0_1
-0.090008,51.519813,-0.0923326,51.5139395,0.006316784578406833,96,4,2,2.5031682795125323,5.0,0.9610833883741625,0,2.3208661457533255,4.582932387332229,0.823901122304917,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,190.83274618802355,181.20356057982605,190.83274618802355,optimal_path_time,181.20356057982605,Normal_0_0_2
-0.1054466,51.5184715,-0.0968739,51.5168482,0.00872503800450149,147,2,2,2.5031682795125323,5.0,0.9610833883741625,0,2.6184048512456237,4.2906517629416685,0.7872065072796207,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,274.536031239684,257.9700391612809,274.536031239684,optimal_path_time,257.9700391612809,Normal_0_0_3
-0.1054466,51.5184715,-0.090008,51.519813,0.015496773606464223,163,2,4,2.5254632884408355,5.0,0.9710179880598445,0,2.673880640467908,4.970700807742457,1.0229850978742565,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,413.75010836903175,561.199718709376,413.75010836903175,astar_time,413.75010836903175,Normal_0_1_0
-0.0758517,51.5116527,-0.1045317,51.5114654,0.028680611591979707,203,4,3,2.5254632884408355,5.0,0.9710179880598445,0,2.5073011022263354,5.0,0.94400953617977,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,471.80838337244353,524.0698321512286,471.80838337244353,astar_time,471.80838337244353,Normal_0_1_1
-0.090008,51.519813,-0.0923326,51.5139395,0.006316784578406833,96,4,2,2.5254632884408355,5.0,0.9710179880598445,0,2.537404070865745,5.0,1.0306824768402794,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,202.63352865154607,181.20356057982605,202.63352865154607,optimal_path_time,181.20356057982605,Normal_0_1_2
-0.1054466,51.5184715,-0.0968739,51.5168482,0.00872503800450149,147,2,2,2.5254632884408355,5.0,0.9710179880598445,0,2.6442834237339867,4.970700807742457,0.9372386976894664,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,276.971009904906,257.9700391612809,276.971009904906,optimal_path_time,257.9700391612809,Normal_0_1_3
-0.1054466,51.5184715,-0.090008,51.519813,0.015496773606464223,163,2,4,2.5123354861711227,5.0,0.9599929823149344,0,2.521789022769352,4.964486536709038,0.9402960613435252,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,379.7309656128728,561.199718709376,379.7309656128728,astar_time,379.7309656128728,Normal_0_2_0
-0.0758517,51.5116527,-0.1045317,51.5114654,0.028680611591979707,203,4,3,2.5123354861711227,5.0,0.9599929823149344,0,2.5406700192046987,4.981555698381269,0.9437932669568518,14,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,540.3722823919798,524.0698321512286,540.3722823919798,optimal_path_time,524.0698321512286,Normal_0_2_1
